Name,Average_Score,Average_Rating
"Ryder System, Inc.",3.0,Medium Risk
Ryerson Holding Corporation,1.0,Highest Risk
S&P Global Inc.,3.4,Medium Risk
SBA Communications Corporation,2.0,High Risk
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2.0,High Risk
"SEACOR Holdings, Inc.",1.75,High Risk
SM Energy Company,2.0,High Risk
SPX Corporation,2.75,Medium Risk
"SS&C Technologies Holdings, Inc.",2.0,High Risk
STMicroelectronics N.V.,2.8333333333333335,Medium Risk
Sabre Corporation,2.0,High Risk
"Salem Media Group, Inc.",2.0,High Risk
Sanmina Corporation,2.0,High Risk
Schlumberger N.V.,4.0,Low Risk
Scientific Games Corp,1.75,High Risk
Scotts Miracle-Gro Company (The),2.0,High Risk
Seagate Technology PLC,3.0,Medium Risk
Sealed Air Corporation,2.2,High Risk
Select Medical Holdings Corporation,2.0,High Risk
Sempra Energy,3.3333333333333335,Medium Risk
Semtech Corporation,2.0,High Risk
Service Corporation International,2.4,High Risk
Sherwin-Williams Company (The),4.0,Low Risk
Signet Jewelers Limited,2.0,High Risk
Silgan Holdings Inc.,2.0,High Risk
Snap-On Incorporated,3.6666666666666665,Low Risk
"Sonic Automotive, Inc.",2.0,High Risk
Sonoco Products Company,3.5,Low Risk
Southern Company (The),3.0,Medium Risk
Southern Copper Corporation,3.0,Medium Risk
"Southwest Gas Holdings, Inc.",3.6666666666666665,Low Risk
Southwestern Energy Company,2.6666666666666665,Medium Risk
Spire Inc.,4.0,Low Risk
"Spirit Aerosystems Holdings, Inc.",2.3333333333333335,High Risk
"Star Group, L.P.",2.0,High Risk
Starbucks Corporation,3.5,Low Risk
"Steel Dynamics, Inc.",2.0,High Risk
Steelcase Inc.,2.5,High Risk
"Stericycle, Inc.",4.0,Low Risk
Stryker Corporation,3.8,Low Risk
SunPower Corporation,1.0,Highest Risk
Sunoco LP,2.0,High Risk
Sysco Corporation,3.75,Low Risk
TE Connectivity Ltd.,4.0,Low Risk
TEGNA Inc.,2.0,High Risk
"Targa Resources, Inc.",2.0,High Risk
Target Corporation,4.0,Low Risk
Tech Data Corporation,3.0,Medium Risk
TechnipFMC plc,3.0,Medium Risk
Teleflex Incorporated,2.0,High Risk
Telefonica Brasil S.A.,3.0,Medium Risk
"Tempur Sealy International, Inc.",2.0,High Risk
Tenet Healthcare Corporation,1.4285714285714286,Highest Risk
Tenneco Inc.,3.25,Medium Risk
"Teradyne, Inc.",4.0,Low Risk
Terex Corporation,1.8,High Risk
Teva Pharmaceutical Industries Limited,3.3333333333333335,Medium Risk
Texas Instruments Incorporated,4.0,Low Risk
Textron Inc.,3.0,Medium Risk
The AES Corporation,2.0,High Risk
Thermo Fisher Scientific Inc,3.1666666666666665,Medium Risk
Tiffany & Co.,3.3333333333333335,Medium Risk
Timken Company (The),3.0,Medium Risk
"Titan International, Inc.",2.0,High Risk
Toro Company (The),3.0,Medium Risk
Total S.A.,4.0,Low Risk
TransAlta Corporation,2.0,High Risk
Transocean Ltd.,2.0,High Risk
TriMas Corporation,2.0,High Risk
Trimble Inc.,3.0,Medium Risk
"Trinity Industries, Inc.",2.5,High Risk
"Triumph Group, Inc.",2.0,High Risk
Tronox Holdings plc,2.0,High Risk
Tupperware Brands Corporation,3.5,Low Risk
Tutor Perini Corporation,2.0,High Risk
"U.S. Silica Holdings, Inc.",2.0,High Risk
UGI Corporation,3.0,Medium Risk
